WeekID,AMU
75-00111,1
75-001110,0
75-001111,1
75-001112,0
75-001113,0
75-001114,0
75-001115,0
75-001116,1
75-001117,0
75-001118,0
75-001119,0
75-00112,0
75-001120,0
75-001121,0
75-001122,0
75-001123,0
75-001124,0
75-001125,0
75-001126,0
75-001127,0
75-00113,0
75-00114,0
75-00115,0
75-00116,0
75-00117,0
75-00118,0
75-00119,1
75-00121,1
75-001210,0
75-001211,0
75-001212,0
75-001213,0
75-001214,0
75-001215,0
75-001216,0
75-001217,0
75-001218,0
75-001219,0
75-00122,0
75-001220,0
75-001221,0
75-001222,0
75-001223,0
75-001224,0
75-00123,1
75-00124,1
75-00125,1
75-00126,0
75-00127,0
75-00128,1
75-00129,0
75-00131,1
75-001310,0
75-001311,0
75-001312,0
75-001313,0
75-001314,0
75-001315,0
75-001316,0
75-001317,0
75-001318,0
75-00132,1
75-00133,0
75-00134,0
75-00135,0
75-00136,0
75-00137,0
75-00138,0
75-00139,0
75-00141,1
75-001410,1
75-001411,1
75-001412,1
75-001413,0
75-001414,0
75-001415,0
75-001416,0
75-001417,0
75-001418,0
75-001419,0
75-00142,0
75-001420,0
75-00143,0
75-00144,0
75-00145,0
75-00146,0
75-00147,0
75-00148,0
75-00149,0
75-00211,1
75-002110,0
75-002111,0
75-002112,0
75-002113,0
75-002114,0
75-002115,0
75-002116,0
75-002117,0
75-002118,0
75-00212,1
75-00213,0
75-00214,1
75-00215,1
75-00216,0
75-00217,0
75-00218,0
75-00219,0
75-00221,1
75-002210,0
75-002211,0
75-002212,0
75-002213,0
75-002214,0
75-002215,0
75-002216,0
75-002217,0
75-002218,0
75-002219,0
75-00222,0
75-002220,0
75-002221,0
75-002222,0
75-00223,0
75-00224,0
75-00225,1
75-00226,1
75-00227,0
75-00228,0
75-00229,1
75-00231,0
75-002310,0
75-002311,0
75-002312,0
75-002313,0
75-002314,0
75-002315,0
75-002316,0
75-002317,0
75-00232,0
75-00233,0
75-00234,0
75-00235,0
75-00236,0
75-00237,0
75-00238,0
75-00239,0
75-00241,1
75-002410,0
75-002411,1
75-002412,1
75-002413,0
75-002414,1
75-002415,0
75-002416,0
75-002417,0
75-002418,0
75-002419,0
75-00242,1
75-002420,0
75-002421,0
75-00243,0
75-00244,0
75-00245,0
75-00246,1
75-00247,1
75-00248,0
75-00249,0
75-00311,0
75-003110,0
75-003111,0
75-003112,0
75-003113,0
75-003114,0
75-00312,1
75-00313,1
75-00314,1
75-00315,0
75-00316,0
75-00317,0
75-00318,0
75-00319,0
75-00411,1
75-004110,1
75-004111,0
75-004112,0
75-004113,0
75-004114,0
75-004115,0
75-004116,0
75-004117,0
75-004118,0
75-00412,0
75-00413,0
75-00414,1
75-00415,0
75-00416,0
75-00417,0
75-00418,0
