FarmID,FlockID,Cycle,WEEK,WeekID,RESPIRATORY,DIARRHOEA,CNS,MALAISE,LEGLESIONS,SUDDENDEATH,NoSign,Sick_yes,OTHDISEASE,CHICKENSICKNO,CHICKENDISEASEDEATH,CHICKENSUDDENDEATH
75-001,75-0011,1,1,75-00111,0,0,0,0,0,1,1,1,,,,3
75-002,75-0021,1,1,75-00211,0,0,0,1,0,0,1,1,,5,5,
75-003,75-0031,1,1,75-00311,0,0,0,0,0,0,0,0,CHUOT CAN,,19,
75-004,75-0041,1,1,75-00411,0,0,0,0,0,0,0,0,YEU CHET,,2,
75-005,75-0051,1,1,75-00511,0,1,0,1,0,0,2,1,,28,8,
75-006,75-0061,1,1,75-00611,0,0,0,0,0,0,0,0,1 CON BI DE CHET,2,3,
75-007,75-0071,1,1,75-00711,0,0,0,0,0,0,0,0,Ga khuyet tat,,4,
75-008,75-0081,1,1,75-00811,0,0,0,1,0,0,1,1,06 CON CHET KHONG RO NGUYEN NHAN,4,4,6
75-009,75-0091,1,1,75-00911,0,0,0,0,0,0,0,0,,,,
75-010,75-0101,1,1,75-01011,0,0,0,0,0,0,0,0,,,,
75-011,75-0111,1,1,75-01111,0,0,0,0,0,0,0,0,,,,
75-012,75-0121,1,1,75-01211,0,0,0,0,0,0,0,0,,,,
75-013,75-0131,1,1,75-01311,0,0,0,0,0,0,0,0,"COI, YEU CHET",,2,
75-014,75-0141,1,1,75-01411,0,0,0,1,0,0,1,1,,20,15,
75-015,75-0151,1,1,75-01511,0,1,0,0,0,0,1,1,,4,4,
75-016,75-0161,1,1,75-01611,0,0,0,0,0,0,0,0,,,,
75-018,75-0181,1,1,75-01811,0,0,0,0,0,0,0,0,,,,2
75-019,75-0191,1,1,75-01911,0,0,0,1,0,0,1,1,,5,5,
75-020,75-0201,1,1,75-02011,0,0,0,1,0,0,1,1,RUT CO,5,5,
75-021,75-0211,1,1,75-02111,0,0,0,1,0,0,1,1,,100,70,
75-022,75-0221,1,1,75-02211,0,1,0,1,1,0,3,1,KHO CHAN,2,2,
75-023,75-0231,1,1,75-02311,0,0,0,1,1,0,2,1,,15,10,
75-025,75-0251,1,1,75-02511,0,1,0,0,0,0,1,1,"Trịnh đích, sáp, sáp màu. bị đè chết 02 con",17,2,2
75-026,75-0261,1,1,75-02611,0,0,0,0,0,0,0,0,,,,
75-027,75-0271,1,1,75-02711,0,1,1,0,0,0,2,1,"KHUYET TAT, PHAN CO",34,34,
75-028,75-0281,1,1,75-02811,0,1,0,1,0,0,2,1,,2,2,
75-029,75-0291,1,1,75-02911,0,0,0,1,0,0,1,1,KHO CHAN,6,6,
75-030,75-0301,1,1,75-03011,0,1,0,0,0,0,1,1,,,4,
75-031,75-0311,1,1,75-03111,0,0,0,0,0,0,0,0,Đè chết,,2,
75-032,75-0321,1,1,75-03211,0,0,0,0,0,0,0,0,"RUT CO, BO AN",10,8,
75-033,75-0331,1,1,75-03311,0,0,0,0,0,0,0,0,CHUOT AN,,5,
75-034,75-0341,1,1,75-03411,0,0,0,0,0,0,0,0,NGOP,,,25
75-035,75-0351,1,1,75-03511,0,0,0,0,0,0,0,0,"YEU, DI TAT",,8,
75-036,75-0361,1,1,75-03611,0,0,0,0,0,0,0,0,YEU,,2,
75-037,75-0371,1,1,75-03711,0,0,0,1,0,0,1,1,,15,15,
75-038,75-0381,1,1,75-03811,0,0,0,0,0,0,0,0,"kHONG AN, OM DAN ROI CHET",3,3,
75-039,75-0391,1,1,75-03911,0,0,0,1,0,0,1,1,,30,30,
75-040,75-0401,1,1,75-04011,0,0,0,0,0,0,0,0,,,,
75-041,75-0411,1,1,75-04111,0,0,0,0,0,0,0,0,,,,
75-042,75-0421,1,1,75-04211,0,0,0,0,0,0,0,0,CHO CAN,,1,
75-043,75-0431,1,1,75-04311,0,0,0,0,0,0,0,0,YEU CHET,,11,
75-044,75-0441,1,1,75-04411,0,0,0,0,0,0,0,0,,,,4
75-045,75-0451,1,1,75-04511,0,0,0,1,0,0,1,1,,10,10,
75-046,75-0461,1,1,75-04611,0,0,0,0,0,0,0,0,,,,
75-047,75-0471,1,1,75-04711,0,0,0,0,0,0,0,0,,,,
75-048,75-0481,1,1,75-04811,0,0,0,0,0,0,0,0,,,,
75-049,75-0491,1,1,75-04911,0,0,0,1,0,0,1,1,,1,1,
75-050,75-0501,1,1,75-05011,0,0,0,0,0,0,0,0,KHO CHAN,20,20,
75-051,75-0511,1,1,75-05111,0,0,0,1,0,0,1,1,,7,5,
75-052,75-0521,1,1,75-05211,0,0,0,0,0,0,0,0,,,,
75-053,75-0531,1,1,75-05311,0,0,0,0,0,0,0,0,,,,
75-054,75-0541,1,1,75-05411,0,0,0,0,0,0,0,0,,,,
75-055,75-0551,1,1,75-05511,0,0,0,0,0,0,0,0,,,,
75-056,75-0561,1,1,75-05611,0,0,0,0,0,0,0,0,,,,
75-057,75-0571,1,1,75-05711,0,0,0,0,0,0,0,0,,,,
75-058,75-0581,1,1,75-05811,0,0,0,0,0,0,0,0,,,,
75-061,75-0611,1,1,75-06111,0,0,0,0,1,0,1,1,"yếu, rún to, khô chân, bại chân",,7,
75-062,75-0621,1,1,75-06211,0,0,0,0,0,1,1,1,gà yếu,,,15
75-063,75-0631,1,1,75-06311,0,0,0,1,0,0,1,1,,4,4,
75-064,75-0641,1,1,75-06411,0,0,0,1,0,0,1,1,yếu,4,4,
75-065,75-0651,1,1,75-06511,0,0,0,0,0,0,0,0,yếu,,,3
75-066,75-0661,1,1,75-06611,0,0,0,1,0,0,1,1,,1,1,
75-067,75-0671,1,1,75-06711,0,1,0,0,0,0,1,1,yếu,5,5,
75-068,75-0681,1,1,75-06811,0,0,0,1,0,0,1,1,yeu,4,4,
75-069,75-0691,1,1,75-06911,0,0,0,0,0,1,1,1,,,,7
75-070,75-0701,1,1,75-07011,0,0,0,0,0,1,1,1,yếu,,,8
75-071,75-0711,1,1,75-07111,0,0,0,0,1,0,1,1,kho chan,2,2,
75-072,75-0721,1,1,75-07211,0,1,0,0,0,0,1,1,,3,3,
75-073,75-0731,1,1,75-07311,0,1,0,0,0,0,1,1,,5,5,
75-074,75-0741,1,1,75-07411,0,0,0,1,0,0,1,1,,2,2,
75-075,75-0751,1,1,75-07511,0,0,0,1,0,0,1,1,,4,4,
75-076,75-0761,1,1,75-07611,0,0,0,0,0,0,0,0,,,,1
75-077,75-0771,1,1,75-07711,0,0,0,1,0,0,1,1,,4,4,
75-078,75-0781,1,1,75-07811,0,0,0,1,0,0,1,1,,1,1,
75-079,75-0791,1,1,75-07911,0,0,0,1,0,0,1,1,,12,12,
75-080,75-0801,1,1,75-08011,0,0,0,0,0,1,1,1,,,,18
75-081,75-0811,1,1,75-08111,0,0,0,1,0,0,1,1,,6,6,
75-082,75-0821,1,1,75-08211,0,0,0,1,0,0,1,1,,1,1,
75-083,75-0831,1,1,75-08311,0,0,0,0,0,1,1,1,,,,2
75-085,75-0851,1,1,75-08511,0,1,0,0,0,0,1,1,,7,7,
